,reviews
69,"Got the computer two days early! this was probably the fastest delivery I've ever received from amazon. I wasn't going to buy refurbished but I really wanted another MacBook and shelling out $2k for a new one was simply out of the question. When I saw the price for this MacBook Air, I decided to roll the dice and buy it. I knew it could possibly come not as advertised, such as having scratches or not being updated as far as software is concerned but when I opened it up it was practically BRAND NEW! set up was simple as can be! only took me 5 minutes to sign in with my Apple ID and all my information was synced between my iPhone and iPad and onto the MacBook Air. There were a few minor scratches less than a couple centimeters on the bottom of the computer nothing that noticeable. the charger doesn't stick as well as I'd like and one of the hinges is half broken off but I've that same issue with practically every MacBook I've ever had. I was really surprised with the quality. it said 2017 version but with all the updates and new iterations its hard to gauge which MacBook your getting I thought I was purchasing a much older MacBook Air than what I got this thing is amazing and the 13 in screen is far larger than I expected it to be feels like a 15 or 17 in display when having it in your hands/ the computer itself is incredibly light, the main reason I chose the air you can carry it in anywhere with one hand and hardly feel it definitely much lighter than my 2020 iPad 11"" All in all if you're on a budget, this computer is the way to go! for $400 its practically brand new and runs like a dream! thanks amazon for this incredible refurbished Mac! love it !"
70,Exceeded my expectations! Some of the reviews had me a bit nervous but I can’t tell you how happy I am! The laptop is on almost brand new condition! Only 1 TINY nick on the front (you can’t see it unless your looking) and it was perfectly ready for me to set up my account! No issues or problems! It comes in a box perfectly protected and has the charger to go with as well👍🏼 So happy with it! Thank you!
71,"I was so excited because this laptop came in perfect condition. But when I tried to change the unsername to my name it wouldn’t work. 3 calls to Apple later, and I find out this computer is owned by a school that can remotely access my laptop at any time. Meaning, if they wanted to they could shut down and erase my laptop. Amazon gave me a full refund but I am very sad and disappointed"
72,"All in all, the laptop works great! It runs fast, it’s clean, and it’s perfect for what I needed it. The one disappointment I have it they claimed this product as a catagory A which means like new. When it arrived, the screen had two scratch marks on it that was discolored from the rest of the screen. I would understand like new for any other part to have a scratch, but the screen is a big deal and it should have mentioned that in the details."
73,"This MacBook Air is amazing!  I had been previously using a 2007 MacBook Air and it was time to upgrade.  I have never purchased refurbished before so I really didn't know what to expect, though was greatly concerned.  Needless to say that this laptop heavily exceeded my expectations.  Other reviewers stated that their MacBook was not as described, though mine looks brand new.  The keys are still crisp and clean, the screen immaculate.  There are a few light scratches on the outside of the computer (mostly the underside), but it is very minimal and unnoticeable.It runs like a dream, though I have only begun using it.  I will update should the computer have any issues.  It is an early 2015 with 4 GB RAM and its OS is Sierra.  I wanted to share that, as I found the Q&A to be a little confusing on that point and other reviews didn't really mention it."
74,"When I received this package, I was thrilled...until I tried to turn it on and got a “low battery” notification...for 16+ hours. Turns out the cord provided (not a Mac product) is not the correct wattage to charge this device. It’s hard to tell at this point if the computer is faulty or not now that I’ve purchased a new cord from Best Buy, but it shuts down as soon as it’s disconnected from power. The screen is pretty floppy, too- falls back without provocation. All of which seem like things that should have been mentioned in the details before I decided to purchase.After taking this computer to the Apple store, I was informed that the issue was indeed the battery- completely bad and had to be replaced. Again, something that I wish I had known before purchasing. It is in working order now, but doesn’t meet my standards of what “certified refurbished” means, and product details lacking for sufficient purchasing knowledge ahead of time."
75,"It said I had to do an update. When I hit the only update allowed it said the latest version was already installed but it wouldn’t let me go foward.  Also the screen seemed loose.  So if it was cleared out they never installed the new software correctly. So it wouldn’t let me even get to the main screen.  Others had luck but I did not.Also when I plugged the power bar in. It had a bit of a shock come out. As an electrician, I know that was a big no no.  I was willing to spend the money and get the correct power cord. But with everything else. I thought that’s already 3 strikes. No thanks."
76,I was very hesitant buying a used MacBook from Amazon but it turned out great! Looks new and works amazingly. You will receive exactly what was described. I have no complaints!
77,"Good quality, arrived early. As-new condition. Easy to install from my old machine via time machine backup. The old one was a 2010, now we are good for another 5-7 years.Thanks"
78,I have been struggling with this product since day one. I am not getting responses from the seller OR the extended warranty repair company.I have never had trouble with Amazon before. Every issue I have ever had has been settled with ease and courtesy.This has not. Made more devastating as it it is the largest purchase I have had and the product has been unusable almost since day one. We sent it to the extended warranty place who said they fixed it but it still doesn’t work.We have spent hours at Apple doing diagnostics and it is simply not functional. To repair it would cost more than I paid. They do not think that the parts it was refurbished with are even Apple parts.This was a terrible product and not worth the money.
79,"I bought this Mac and it came with a non Apple charger, I bought this as travel computer, sure enough in the first week while I was in Europe I had to buy am authentic Apple charger at $117. Now a month  later my Mac has died. It was having issues as in when I tried to maximize the scene with Netflix it would just shrink to a 3x5"" screen volume,  also the screen had been replaced before I bought it and is not well attached, very disappointed, I bought this last summer, but only started to use it in October when I was traveling, so I spent close to $700 for a Mac that lasted 2 months, return and replacement window has ""closed"" so I am stuck with a hefty repair bill."
80,"BOUGHT THIS PRODUCT FOR MY MOTHER, SHE IS 70 YEARS OLD AND BARELY USES THE LAPTOP.THE SCREEN IS IN THIS STATE, APPEARS TO BE PEELING! VERY BAD!!"
81,"The media could not be loaded.
                




   Note: My purchase was completed through Kanga Supply for this item that ultimately doesn't function as intended.Amazon Renewed item descriptions indicate that the products should work and look like new, which wasn’t the case for this purchase, ergo my poor rating. After only having the Macbook for less than a day, I was forced to reach out to the seller because the product no longer functioned as intended.CONSThe Macbook worked fine for the first hour or so of use, but during an update, the screen flickered vigorously (see video). I hoped it was just a fluke, and it led me to believe there may be some software or hardware-related issue. After having the Macbook for less than 12 hours, I was forced to reach out to the seller because the screen flickering caused the laptop to become unusable (see picture). I also came here to draft a review in hopes that my issue is resolved quickly and effectively. I'll update my review once this is complete.PROSAfter removing the laptop and inspecting the outside, I was pleased. The outside of the Macbook is in good condition, just one or two visible scratches or marks.The charger was not the original Apple charger (as other reviews have indicated) but an OEM adapter. I don’t care that much about whether it’s an Apple charger, as long as it functions.Specs match the advertised item I purchased:128GB SSD8GB ramEDIT/UPDATE: After reaching out to the seller as instructed with the Amazon Renewed products, I never got a response in the allotted timeframe (2 business days) and was forced to reach out to Amazon directly. Ultimately, this item was returned for a refund.UPDATE 2: Today is 1/13/2020 and I have still yet to see this problem resolved to my satisfaction (refund or exchange of working product), after having ordered this product on 12/26/2019. Highly disappointed both in Amazon and the third-party seller.UPDATE 3: Received a replacement Macbook on 1/15/2020. So far it seems to be working, no issues with the screen per the previous item received (was NOT the same item sent back, verified by serial number). Pleased so far with this item."
82,"The 2015 Macbook Pro is still, in my opinion, the best Macbook even in 2019.  I use the SD card reader all the time and have several USB 3.0 devices.  I also use a newer 2017 quad-core i7 for work (no choice) but the difference in speed is not worth the added money and lacking ports.  When I actually put the newer 2017 to work, the heat issue is still a challenge for Apple and performance drops.  It's like having power that I can't actually use unless I sit in a walk-in freezer. Don't quote benchmark speed tests to me, what counts is actual performance sitting at my desk for hours at a time working on a project. I also prefer the magsafe power (although this one uses the magsafe II which I like less than magsafe I which had a more solid connection) This one, I purchased for my wife and it handles everything she needs it to do. Although you can't upgrade the memory on these models, so make sure you get enough for what you need.  If you want to change out memory, then the best choice is the Mid 2012 non-retina model which also come with DVD drives and has USB 3.0 ports."
83,"First off, I am removing a star because they shipped a counterfeit 60W Magsafe 2 charger with my order. I contacted them immediately and they offered to accept a return of everything. I explained that the charger was my only complaint and they overnight FedEx'd a genuine Apple replacement for free.""we sent you the wrong adapter for this batch of order and will overnight you the correct genuine one.""So they knowingly ship counterfeit chargers with some of their orders?The computer is pretty good cosmetically and operationally, but not as great as other reviewers. It is an Early-2015 12,1 model, this one was built in 12/2016. There is a crease over the right USB port from somebody yanking a USB plug. The battery has 107 cycles (89% life left). Keyboard and display are in great shape with no flaws. The SSD has no dead cells. It came with MacOS 10.13 installed.Overall its a good laptop and decent refurbishment job.EDIT: Knocking off another star. They sent me another counterfeit charger. Apple would never loosely jumble the cord in the box, a genuine power supply doesn't stay powered on for several seconds after it's unplugged from the main or stay lit green/orange after its unplugged from the laptop and this fake only puts out 25 watts max."
84,"I really feel like I got a great deal on this, mine arrived in brand new condition and it looked like it had never been used. I did see some people had bad experiences but mine was well worth the price tag. The only negative was that the charger provided is third party and not OEM Apple. The box is also generic and not Apple, not a big deal but you just don't get that same feeling opening it up as a new product. I will say that I checked the serial number on Apple and the computer itself was only a couple of years old, so in reality I paid around $450 for an Apple that was only a couple of years old with a decent amount of battery life still left. I only bought this as there was certain tasks that I could not do on my iPad and so I did not need a brand new super powerful computer. This one is great, does not get hot, fans are silent and the display looks incredible.Overall I was very happy with the purchase, it came fast and was like new condition at the fraction of the cost of a new one. I actually waited a few months before writing this review so that I could also include that I have had no issues at all in that time, battery lasts a decent amount of time and no software or hardware issues to report. It also runs the latest OS that I updated it to and I believe it will be supported software wise for some time to come. Completely worth the price!"
85,"The media could not be loaded.
                




   The Macbook came in working condition with all original components and an OEM charger but not with the extension cord. The major downfall is the condition of the laptop, for the above average asking price for this model I expected great condition as it is stated to be like new but instead the model I received was in okay condition (not cleaned either, large collection of gunk in hinge vent) at best with a lot of edge scratches and deep cuts throughout the chassis, and some unremovable stains from stickers! And worst of all the battery was at over 500 cylces, the battery life was 4-5 hrs max! thats horrible for whats suppose to be a renewed device! Not satisfied!EDIT:  Avoid this entire listing especially from the seller ''Easymobiledevices'', they ship dirty grade b laptop and have poor costumer service."
86,Once i started running it all sort of problems arises. First major problem is wifi drops off and will not let you connect to wifi. After this happens you cant even turn on/off the wifi. Used guest and still no wifi. Restarting or shutdown and restart will not activate wifi. If you restart it takes so long to reboot. Sometimes it get stuck on the waiting wheel on startup. One out of ten restart wifi will work for a minute but then drops off and you will no longer be able to connect again. I cant say anything physically because it looks fine. Lastly beware it shows and says freshly installed mojave os but it has instead sierra installed. The power cord looks like an imitation and not the original one because from the weight it is not the original one. I can tell because i have multiple macbook at home and that is not the original one. I am pretty disappointed with this seller.
87,"I’ll update 15 days from today.CONS:-Delivery packaging: it was a regular box with one thick bubble wrap to protect the laptop.First glance, the charger seems pretty beat up but seems to work fine.-The outer top of the laptop has a lot of scuff marks and scratches. Sides do as well. Nothing TOO severe.-Bottom have some scratches and wearing on the rubber, not too noticeable.PROS:-Had a full battery-Set up went smoothly with no hiccups.-Outer signature glowing Apple works well.-Opening the laptop, the screen has no visible scratches, cracks, or scuffs at all.-Keyboard has no loose keys and is glowing well.-Trackpad has no scratches and works really well no weird working sides SO FAR.-Software automatically updated to Catalina, kinda wanna wait to update to Big Sur.I’ll update March 13, 2021"
88,"Still a GREAT LAPTOP, arguably the best MacBook Pro 13” ever made, 2 or 3 iterations later! I have had mine for 3 months now and although I was a little disappointed that I got a no-brand MagSafe power brick instead of an Apple brand, it’s caused no problems for me. I have been using Logic Pro X a lot and it runs nice and smooth even with the haphazard way I use it, leaving muted unused tracks all over the place as I learn about things like track bouncing and experiment with every single effect and different audio formats (I feel bad sometimes like I am unnecessarily abusing the laptop, lol) and I haven’t frozen or crashed at all. I have used a few emulation programs for old Saturn, Super Famicom, PS and Dreemcast games that push the 2D sprite and parallax scrolling envelope and again I haven’t had any problems. Only thing I have experienced that has been an issue is the actual Mac OS and it’s limitations with regard to formats, programs that it supports and connectivity with outside developers but I have also been able to get around that by setting Virtual Machines up and GUID partitioning to use whatever other OS I need. This is also not a complaint about the hardware itself but rather the Mac OS software so should not be considered when it comes to the actual MacBook Pro 13”.You will want to upgrade to an NVME M2 SSD at least 256 GB or 512 GB right away, as the 128 GB SSD will fill up within 2-3 months of moderate use and the newer M2s will increase the OS loading speed more than anything else. Luckily you have your pick of great SSDs like the Samsung 970 Evo, etc that you can easily swap in with a $5 adapter, a screwdriver and no soldering (just search YouTube for “MB Pro 13 2015 SSD upgrade”)…The unique things and PROS about this MB Pro 13” are the older style KEYBOARD that doesn’t break like 2016-later model keyboards do, 2 USB 3 ports, an SD CARD R/W and a FULL SIZE HDMI PORT all built in. This is the last MB Pro 13 with any of those ports on board and the fact that you can swap SSD hard drives with no soldering and very little skill needed, all-in with the M2 you get a sexy little powerhouse for half the price of the newer model Pro 13”s (1/4 price of current gen)! The rest (CPU, onboard graphics, sound/speakers) make this laptop a must have that will likely only appreciate in value $$$!Two Thunderbolt 2/miniDisplayPorts are useful if you want to setup 2-3 Screens, but the CONS Are that you get NO ThunderBolt 3/USB-C ports and more and more adapters and devices require that connection these days, though with the USB 3 ports there are ways around it, complicated as they may be. You also CANNOT UPGRADE RAM unless you know how to de-solder the current ram and solder up new ram (accepts up to 16GB DDR-3 in 2X8GB formation) and setup the machine to accept the new ram, which seems a recipe to completely destroy the board/laptop without at least some Mac building & Mac hardware programming know-how, possibly even special equipment.MAKE SURE YOU GET THE MODEL WITH THE AMOUNT OF RAM YOU NEED BUILT IN & a CPU that will be sufficient for you and you won’t be disappointed with this awesome little 6 year old laptop! Don’t get the 4 GB model even if it will “work” for you “short-term”! I got the 8GB/i5 2.9Ghz/128GB and I already regret not paying another $100 for the 16GB ram model, but c’est la vie.Just buy this MacBook Pro 13” while you can, replace the SSD as soon as possible, enjoy it, keep it another 5-10 years and you will likely be able to triple your investment by reselling it assuming Apple stays on their current trajectory with their MB Pro Hardware releases!!!"
89,"Hi, I bought this Macbook Pro 13"" early 2015 and received last week on Aug 23th. The laptop has a good appearance and doesn't have any flaws. However, the charger(45w) packed together with the macbook is not for macbook pro but for  Macbook Air. I just found out today, cuz when I use the charger(45w) laptop cpu temperatures goes up to 65-85 celcius. and I can't use more than 4 hours. But when I charge my macbook with Macsafe 1 (85w, which is for Pro), the cpu temperature keeps 40-50 degree, and it runs around 10hours. I want to change my charger into “MacBook Pro Charger 85w”. Thank you."
90,This is by far the best laptop ive ever owned! The laptop came with 0 scratches and only 16 battery charges on it. It even came with the apple box and stickers! Highly reccomend for the price. $850 is great for a 2019 macbook air.
91,"The media could not be loaded.
                




   Everything I expected and more! Just like brand new!"
92,I love this laptop so so much. I think everyone should get it. The model is between 2018-2020 and the one I got had the Touch ID on it! Everything was very easy to set up and is in such great quality!
93,"Received in a timely manner.  Will review in a couple weeks.Well, it's been over 2 weeks since receiving my MacBook Air and I have to admit that it has proven to be worth it's price. The Retina display is phenomenal and it's compact chassis is just what I was looking for. I am not a power user, so I didn't need major memory capacity. The speakers are, surprisingly, crisp and clear for such a slim build. The fingerprint scanner is quick and a huge convenience. I am (or was) a long-time PC user and resisted getting an Apple, but the transition was smooth and Apple's claim to fame for being user-friendly and intuitive proved true. If you are looking for a compact, yet capable laptop with QWERTY keyboard, I would recommend this product."
94,"After having the laptop a few months, I can say my leap of faith to buy an amazon refurbished was worth it BUT I had to work a little bit.  It didn't arrive perfect and it still isn't perfect.  There is a tiny white dot on the screen where some pixels died (I guess) and when I first got it, I had to call Apple support to get iMessage and Facetime to work on it.  Then I had to take it to the Apple store to get the keyboard fixed as some keys would not work.  Thankfully, I had Apple Care on it so the cost to get it shipped off and fixed wasn't bad.  Overall, I am happy with my purchase and I recommend this seller, but I will probably buy new next time."
95,"** I have only had the laptop for a week, this review is only based off of the time I have had it**I was so nervous to buy a refurbished computer but this came like it was brand new. New packaging, new charger, spotless laptop. I was worried the battery would be bad and wouldn’t hold a charge. I was wrong. I downloaded over 12,000 photos and was on it nonstop for over 2 days without even having to charge it. I am in love with this!!!"
96,"As in the description exactly, thank the seller for the fast shipping and good packaging"
97,I love this laptop and I’m really happy with all the features. Would definitely recommend.
98,Exactly as expected. Great value.
99,"The product made a loud buzzing/grinding airplane-type noise as soon as it finished setting up which was truly deafening. I presume it was the fan producing this aggravating sound. No programs were running and the room was approximately 68 degrees Fahrenheit so overheating should not have been an issue. Since no computer should ever sound like a coffee maker at any time, I must conclude that it was defective. Return to sender."
100,"Arrived, boxed well with balloon cushions. Power adapter looked clean but had scratches. Opened up the Lid of the MacBookPro and it looked like it had some sort of disease or cancer & it smelled quite strange too. It had over 50% battery so I carried on with a reset which resulted in an error. Luckily it booted back into Yosemite OS that it had installed years ago, after 3 failed attempts managed to update to Mojave. Of course first things first copy music etc onto, USB stick struggled to go in either of the USB Ports (look at the photos) was also stuck after insertion but managed to pull out, with a hard pull - full force - anger. Had a look into the ports and discovered they were literally rusted dirty like disgusting, this is not the definition of Refurbished - but 2nd Hand or Heavily Used. Be aware, set your expectations right in oder to avoid any disappointments."
101,"The media could not be loaded.
                




   I was super stoked upon arrival, began setting up the laptop and within minutes the screen stopped working. Literally pixels. Severely disappointed. I have gotten ahold of kanga and they are working to replace the device but it has now been over a week since I’ve purchased the unit with two day shipping and still have nothing to show for it. I hope they come through on their end and send me a functional unit."
102,"I've only had it for about a week now and this 2015 MacBook Pro is working phenomenally! I was kinda hesitant buying a refurbished MacBook from Amazon, but I can honestly say I'm go glad I went ahead and did. It came extremely fast and right from opening the box, it was as if I had bought a brand new one right from Apple themselves. There's not a scratch, dent, stain, dust or anything on it. So far it's working extremely well and I will definitely buy form this seller in the future and recommend them to others as well! Great price for a great computer."
103,"I’ve had this MacBook Pro going on 4 days and so far so good! It has met all my expectations and more. I grew up using windows PCs. This is my first Apple computer and I’m happy to have made the transition. Wish I did this long time ago but better late then never. If it wasn’t for the packaging and not being in the original box, I probably wouldn’t be able to tell this was refurbished. This is just based from my experience using MacBooks at the Apple store. Also, there was a few minor scratches on the bottom of the laptop.I will revise and change review in a month if any problems. But as of now, my review above is how I feel."
104,"I've only had it for a couple days, but so far this is a great purchase. The thing looks brand new, and I know it isn't. I am replacing an older Mac and just can't afford the prices of new machines from Apple. Using Migration Assistant (an app that comes with Macs) I was able to restore a time machine backup from the old machine, so I've lost nothing in the transition."
105,"When I ordered this product for the first time, it came with a green line on the screen. I contacted the costumer service, they responded very quickly and replaced it.The second computer came with better specs, I was the happiest person... for 2 months though, the computer suddenly stop responding.Other things that are worth saying:- The charger is generic. A generic charger can easily damage the battery of the computer, that could explain my problem.- The second computer they sent, had a sticker that covered the whole low part of the computer (those stickers that are the same color as the computer and are used to cover up very big scratches.Conclusion: they can deliver a great costumer service, but not a working product."
106,"The macbook pro only worked for a short while. It had a charging/powering problem - wouldn't keep a charge at first, then wouldn't power on even when plugged in. Confirmed it was not a charger issue.I contacted the company who said to send it back for repair. Once they received it they wrote saying it cannot be fixed and charged me a ""restocking fee"" in the amount of the purchase of the laptop. Outrageous!! I even had a protection plan for it. After numerous interactions they refused to help and returned the laptop without telling me. THEN they said they couldn't do anything in terms of a refund because I had the machine. Months later they refuse to resolve it and amazon can't help me because it's a third party seller. An ABSOLUTE JOKE of a company. I'm out over $500.00 with a computer that can't be fixed - and Apple store said they could try but for more than the computer's worth. So yeah. They have my money and I have nothing.DO NOT BUY from these people if you'd like to keep your money."
107,"Hey all! So I’ve gotten into photography lately and needed a upgrade from my old 2012 MacBook Pro and 2011 Asus laptops for editing. Figured a 2015 model would be the way to go for a decent upgrade without spending tons of money. I was super skeptical about buying a reconditioned one through Amazon after reading the reviews and thought about it for about 4 hours before I made the transaction. Next day it was at my door step with me a bit nervous about opening the package and seeing a beat up MacBook, I opened the box and the MacBook was in a bubble wrapped sleeve and that’s it. Okay I’m fine with that but what was the condition of it? Looks like it barely got used or the previous owner always had a case on it. Outside from a few nicks here and there it’s flawless. Turns on and is super quick, the Retina display is beautiful and definitely enjoyable to watch movies. It came with Mojave so the first thing I did was update it to Big Sur and it’s still flawless. I’ve only had it for a day if that but so far I’m happy with my purchase. Just be mindful yours may or may not be like mine condition wise I got lucky. Should you buy one of these? I would I’m pleased with my purchase and I’m sure you would be too. But I’ll update with any issues if they come up in the future. Thankfully I’m a bit tech savvy so whatever happens I’m sure I can fix it."
108,"This of course this is an old model and reconditioned/renewed, so I was expecting it to look somewhat used; however, this MacBook Pro is in PERFECT CONDITION as if I had purchased it new. I'm upgrading from a very heavy and slow 2009 white MacBook that's a dinosaur and I could only do very basic things on it. It has almost zero capability in terms of battery life (it could only be used plugged in) so this laptop is an absolute gem in comparison. This might be why I'm so hyped and elated. Plus the price was very good. *I hope the computer doesn't have some sudden glitch and dies on me...lol!Now, I can finally edit my videos in iMovie, which was not working on the old MacBook, because I couldn't update it anymore. I need this laptop mainly for traveling, to do editing work, I have a 2 monitor PC set-up at home. My only wish is that I could transfer my Adobe CS to the new laptop.SIDE NOTE: it's actually overall a little smaller than my old 13"" (screen size is the same), it's not as heavy, but not as light as the Air; it arrived with Catalina iOS installed and I had to upgrade to Monterey to use the newest version of iMovie - this isn't a complaint, just an observation."
109,"I bought for my mom, great deal (sort-of), works great (after I deleted 2 mysterious old unknown wifi connections)I bought this for my mom, she was always having Windows problems, viruses disguised as virus removal, scammy pop-ups, and so on.  Happy day!  :DThey raised prices during Prime Day, wth?  I thought I was getting a good deal, but afterward I noticed the price went down.  Anyway, I ordered this for my mom.  She's been using Windows and I wanted her to experience a Macbook Pro.  This one is actually even better than mine!  I'm still happily using a Late 2013 2.4 Ghz 8 RAM 256 GB 13-inch Retina, her's is exactly the same except it's a Early 2015 and it's actually got 2.7 Ghz!  Anyway she seems really happy with it.  I set it up for her, and ran the serial number, which was not found, not surprisingly although I'm not sure what that means, and the update page in the App Store looks like it was coded in 1995, so I'm not sure what's up with that.  Could be something funky going on, but all I know is it works and we're happy with it.  She's getting used to using it, and she says it's fast and smooth.  She was getting tired of all the Windows updates and virus stuff and all the spammy popups telling her to purchase a virus disguised as virus removal, yadda yadda yadda, so I am well-pleased that she is now almost a full-blown Mac-head.  Thanks Apple.  I hope to be able to afford an Apple car when they do come out, haha.  I'm not sure about the battery-life yet, but I HAD TO replace the battery on mine, so replacing it on hers should not be a problem."
110,"Do not waste your money or your time and energy. Please! I felt like everyone else who gave this a chance. I was nervous buying a refurbished computer, but this site had pretty good reviews overall. I was definitely wrong. The laptop shipped quick, but as soon as I pulled it out of the box- it wouldn’t turn on. I tried everything, eventually the following day I brought it to the Apple store to just make sure it wasn’t something as easy as the charger not working. NOPE! That’s when they were able to tell me the laptop had this weird covering on the bottom of it- which covered all the computers info. Turns out, it came from a school. They said it was definitely sketchy and had a hardware issue. I sent it back- it’s taken almost 2 weeks since I sent it out to get my refund- they issued it today, but it still says it would take 3-5 days to get in my account. What a freaking headache and waste!!"
111,"I was expecting a computer with scratches and obvious wear, but there were only two scuffs on the side of the computer which are barely noticeable and well-hidden with a plastic hard-case protector. The computer is rather small and light-weight.The battery life is pretty good for this kind of computer, but that’s just coming from a college student who only uses it to write essays and browse the internet. I don’t use it for more professional tasks like video-editing . Someone previously said the screen is yellowish but that wasn’t the case for me. All in all, it’s a really good, functional computer for the price. I’ll change my review if I encounter problems.Edit: (Nov 2021) I've had this computer for two years now and it's still functioning great."
112,"Arrived with no battery life. Charged with enclosed charger but battery wouldn’t hold a charge. Battery when clicked on, said “replace immediately”.  Had to return."
113,"Received in January and waited a few months before reviewing to have a real evaluation. Quality has been great, battery life is good and speed is good as well. Nice product for the price"
114,"I ordered this Mac Book Air, and reading from the description, I was thinking it would be wonderful. It was a good price, and I'm very familiar with Mac Books. I ordered this sometime in July, and it has worked perfectly. I decorated the outside with some of my favorite stickers, and I had all my information on there. It was my favorite thing I bought.""Oh, well why did you give it one star?"" you're probably wondering. Well friend, you see, this product came without 2 essential parts on the backside of the keyboard. When December came, my keyboard stopped responding to the computer completely. I called Apple about the issue, and what they told me over phone did not work. I had to visit Apple in person, so they could look at it. I was there for hours, and nothing got solved. So I then visited a Professional Computer-Repairman, and when he took apart the backside of the keyboard, he saw nothing wrong, until he looked deeper. He found that I was missing 2 essential parts to my laptop. He tried ordering these parts from China, but they have not responded.I have tried contacting Amazon many times, and they're not willing to help me out since my computer was purchased months ago, so it passed the 90 day rule. I feel as though this special situation should grant me a refund. But nope. Next time I order a laptop I will go to a Repair shop, have them take it apart, and see if anything is wrong. If there is, at least I can send it back within 90 days :).Ohhhh wait, I can't order a new laptop! I'm a poor college student and only had enough money for a laptop when I originally bought this one. And it was a complete dud! Can't wait to spend the rest of my college days in a computer lab. I don't think I'll ever buy from Amazon again. I'm sorry."
115,"I was nervous about buying a refurbished Mac after reading so many negative reviews, but I'm glad I did!  This is a great computer, updated with the latest OS and from early 2015.  For me, this is great for what I need it for.  I purchased the additional warranty just incase.  So far, I'm happy with my purchase!  My best advice is to read the seller's feedback page before buying."
116,I just needed a computer to finish my online schooling and this computer has worked great! No complaints at all!
117,"Works great, I love my refurbished Mackbook Air. I like recycling computers because we are creating enough trash in the world."
118,I got three my two boys and my ex love their MacBook Air.
119,"My old dell laptop had just broken and I was skeptical about buying this laptop but it came packaged nice, charger looks new and no scratches or bends on the corners! It was an easy set up. I just plugged it in and charger works great. I am in college and thought this laptop would be perfect and so far i am not disappointed! Will update if anything happens!UPDATE ONE YEAR LATER:Hey everyone!! My laptop is still running great. I use it everyday for college and my business and I even play Sims on Origin lol. The only downside to this laptop would be the battery, it does not drain too fast but I would always keep your charger around! Other than that I still love it and do not regret making this purchase!"
120,It’s just one continuous problem after the other with this computer. It’s really not worth it to save a little bit of money just buy new not refurbished have your warrantee you’re better off in the long run.
121,For this being my first ever Mac- This was an amazing buy... no scratches or dents. Its basically BRAND NEW. 😝😝😝The only thing is that it says 512gb but the space says 256gb so be wary of that.But other than that I am really happy with my purchase.
122,Good
123,Love it
124,"the product arrived with the screen broken. I would like a refund of $ 400 to repair it, since he is now in Brazil."
125,So happy with this purchase. Even my kids said it looks like the new ones. Has some minor imperfections but at the cost totally acceptable. Would definitely purchase from this seller again.
126,"This is actually the second refurbished Apple product ive bought, but the first refurbished one off Amazon.  Let me say.... a used, 5 year old model seems iffy, but looking at the brand new models I was sold on a refurbished one.I got this solely for the purpose of school.  Im in paramedic school and needed a computer, I have an iphone and ipad (refurbished) and decided to stick with the apple theme. Upon opening it the mac is in pretty good condition, the top looks new, screen is crisp and clear, speakers work great, keyboard has zero issues.  The battery charges to 100% and holds its charge well.  The only cosmetic ""damage"" is on the bottom of the mac which is absolutely ok with me, and its just minor scuffing.Ive had this thing 2 weeks now, and watching constant videos on the human anatomy, constantly doing/turning assignments in online, zoom class meetings, apple music lol and ive had no issues whatsoever.  I do have until Oct to return if desired, which if it keeps up like it is I wont be returning it.  Like other have said, if you want a mac but dont want to pay 1500+ for a new one, this is one great alternative!**UPDATE 02/21** Fast forward to February and this laptop is still going strong!! I use this for school as well as work and personal time.  Absolutely no regrets here."
127,This computer worked great for 4 months until one day it stopped charging. Tried to contact the seller to see if there was anything he can do. But he didn’t even bother to answer. Long story short I paid $225 to have it fixed. Now is working great again.
128,Record your unboxing from very beginning to end and pack very well when sending back
129,This is a surprisingly good MacBook for the dollars spent. This product came in pristine condition and could not be more what I needed. Personally even know it is not the newest model I LOVE the fact it not only has regular USB ports but also has an HDMI port so I can easily play thru my television. The keyboard also actually clicks which I prefer over the new style. The one thing I would say is that the battery life is not gonna last you what the a newer one would (Although that goes without saying). Overall I would highly recommend this laptop if your looking to own a MacBook but do not have the money to dish out for a brand new one.
130,The listing mentions a fresh install of IOS Mojave.  I currently has High Sierra.
