,review
294,Dined here in mid August for my cousin's birthday dinner and had a decent time. Our waitress did an incredible job at memorizing our order (a total of 8 of us) and we managed to get our food and drinks in a timely fashion. I went with my go-to (pineapple fried rice with chicken) and rose for my drink. We unfortunately dined outside due to availability but I was looking forward to seeing the inside of the venue. The waitress kindly took a handful of photos of us at the conclusion of our dinner. We gave here a well deserved tip.
295,"We love Thai food, and this was one of the best Thai restaurant experiences we've ever had. The food was fantastic, and the place had great ambiance. And the prices are quite reasonable as well.We tried various dishes including Krapraw Gai Sub (ground chicken), tofu fried rice, Basil leaves, and Praram. All had great flavor, and the perfect amount of spice. The Praram was a unique dish as it was tofu covered in peanut sauce, with veggies. They cook the tofu in a unique way at Thai Villa, and it has a little more crisp to it than at most Thai places. The Tom Yum Koong soup with Shrimp was also very flavorful. The drink menu is also huge here. We will definitely be back here when we come back to NYC. They are on Resy, and prime dinner slots go really quickly."
296,"I came here for dinner the other day with friends and we loved this place! The interior decor is super cute and you have great mood/lighting at the tables. We decided to do family style so that we could try a couple of different dishes. To start we got the Papaya Salad. For our main dishes, we got the Tofu Pad See Ew, Royal Pad Thai and Tofu Pineapple Fried Rice. Honestly, everything was very tasty. The pad thai was from their special which featured jumbo shrimp and was plated so fancy. Personally, my favorite dish was the pad see ew. The flavors were just so good and the noodles were done perfectly. Would love to come back!"
297,"4.5 if that was an option. Tbh their red curry was the star, I love all the veggies and flavor that went into it. The curry puff wrapper was super flaky and buttery (my fav) but the filling lacked actual curry flavor. The pad see ew was a bit too salty and also lacked a bit of the crispy noodle texture from the wok, otherwise the ingredients were super fresh and delicious. Thai tea was amazing TBHALSO THEIR OUTDOOR DINING WAS SUPER CUTE"
298,The Tom Jued soup WAS ABSOLUTELY DELICIOUS. Will be back!! Beautiful restaurant. Pad Thai also delicious.
299,"Returned here for dinner and had a good time. The service was rushed but it's a very busy place so I understand they want you in and out. Do not expect to linger over a drink after eating here. The food was great- the highlights being the red curry and the shrimp with lime leaves (I think that's what it was!) the salmon dish I would skip next time. It's an expensive meal, but it's a step or two above the standard neighborhood Thai and the space is lovely."
300,"I've been searching for quality Thai food in NYC since I moved here and I think I finally found the best spot!First off, the food here is premiere quality- it's not oily, its very well seasoned, and has the perfect balance of spice and savory. I got the kee mao with chicken and definitely recommend it! I do wish there was more chicken and a little less vegetables- that would make it perfect. The vibes here are really nice- cool lighting and ceiling decorations. The only thing I really didn't like about my experience was how hot it was inside. I'm not sure if the a/c wasn't working or not but I was sweating the entire time so I hope they fix that. Overall, it was a great experience and I'll be back."
301,"Overall- I would come back What we got Good:Pad Thai- over the years I have grown more fond of pad kee mao or pad see ew but we decided to change it up. I will say they do a fantastic job. The right combination of tamarind and citrus. Loved it Ok:Penang curry- it was a great curry, on the spicy side. It was a little bit of a thinner curry but to their credit it's probably because they use less coconut milk and they just rely on the flavors of the spices to make the dish. I think I would have liked it more if the beef was the same as they used in the pad Thai. The beef in the curry wasn't as good of a cut. Still a great dish but it probably would have been better with chicken Price: expensive. $20ish per dish. Very good quality stuff though Ambiance: very cool space. The chandeliers are beautiful and even the handles on the bathroom doorknobs were super cool. Very much a modern take on traditional thai decor Pro tip- we got lucky for Sunday lunch because we came early and could sit inside. The outside is definitely not the same vibe. If you have any interest in coming here make a reservation"
302,"Never disappoints! Good food, service, and ambianceFollow me on instagram @eatenbysteph"
303,"My friend and I ate dinner on Thursday. We ordered pad thai and crispy duck to share. The entree portions are big. Overall the service is great. If you make a reservation online, they inform you that they will charge $30 if you cancel or a no show."
304,"Top notch dish selection and great value menu. We often order takeout from here on Caviar, and the food arrives fresh and in good condition (often not the case with other restaurants)."
305,"I absolutely love Thai Villa. The first time I had Thai Villa was when I ordered food from here via Uber Eats. I had ordered the Tom Yum Fried Rice and Pad Thai with Tofu. The fried rice was delicious, I've never had an entree like it. You could really taste and smell the tom yum flavor in the rice and I especially liked the small mushrooms used in this dish. The pad thai was average, it didn't stand out as anything special.After enjoying the takeout order so much, a friend and I stopped by here for dinner after work one day. We didn't have a reservation but figured we didn't need one on a Wednesday night. When we got to the restaurant around 7:30pm, we were told that if we were okay with sitting at the bar, there was no wait but if we wanted a table, there would be a 45 minute wait. Pro tip: make a reservation if you're planning on eating here because it is VERY busy.The crowd makes sense too - the service and the food are just so good. I ordered the kee mao noodles with tofu and a thai iced tea and they did not disappoint. Our server was really friendly and made sure to check on us periodically, despite how busy the restaurant was. When we were done eating, he also packed up our leftovers for us. Some places just hand you the takeout box and make you pack your food, but we really appreciated how this place took care of you. The service here was great - fast and efficient even with the high number of customers in the restaurant. I'm sure I'll be back at this restaurant in the near future."
306,"We went there for a lunch after a friend's recommendation. The ambiance was very pretty. We ordered Tom Kha soup, Pad Se Ew, Green Curry. There's Fish oil used in Pad Thai noodles so vegetarian, be aware about that before you order. The food was super yum. Everything was delicious and generous in portion. We will definitely go back when in town next."
307,"I have been wanting to visit this place for years since I only hear great things about it, so I finally did it. I considered my self a Thai food fanatic, having been to Thailand plenty of times I think I have enough knowledge to know when a Thai dish taste authentic and when it's just okay. We ordered a Tom Yum and soft shell crab mango salad. The soup was tasty but the broth was kind of thick (I believe it has coconut milk in it) but the flavors were there. We also ordered the mango salad, it was good and the perfect amount of spiciness, however, it was missing the dried baby shrimp (deal breaker when it comes to papaya or mango salad) other than it was an okay appetizer course. As main dishes I got the pineapple fried rices which it was good, I like the fact that they used fresh pineapple and not from the can (lots of place used canned pineapple for this dish), the chicken was tender and the rice had a GOOD amount of it. I also ordered the pad see ew with pork which it was very good as well. The pork was tasty and it complement the noodles very well. I have a few issues with this place and that is the amount of food they serve (it's massive) I know they need to justify what they charge for rice but I think cutting back on prices and serving regular portions is a better practice. Another thing is the menu, I mean look at it before you go there because it is a whole will. You will get pages, and pages of what it seems to me very repetitive food just phrases differently. Has it been the best Thai food I've ever had in the city? Absolutely NO. Was it terrible? No, it was not, it was okay. Will I go back? Maybe in a few months. Would I recommend it? As your last option sure!"
308,"Highly Recommended!!! The food and the decorations is 10/10. I took my boss and his family to visit and they love Thai Vila! We order variety of food and never forget to add the Thai Milk Tea  ""Best"" was the one who taking care of us and making us many drinks tonight! He is very helpful and we love him so much! I highly recommended if you are looking for good food, good atmosphere and friendly staff here is the perfect place!"
309,"I bookmarked Thai Villa after reading about this place on multiple blogs and was pleasantly surprised that it was around the corner after visiting the HP store next to the Flat Iron building. Didn't have a reservation, but was instantly seated indoors.The ambiance of the restaurant is great with all the golden decors and I appreciate the plexiglass dividers during COVID.I ordered the lunch special for pad see ew, which also came with mushroom soup and slice of chive pancake. I enjoyed the soup - It was light with cabbage and enoki mushrooms. Chive pancake had an interesting texture and didn't taste too bad with the dipping sauce. Pad see ew, on the other hand, was just okay in my opinion. Nothing really stood out in terms of taste. My friend really enjoyed his Panang curry and Thai iced tea though!"
310,"Went today, got a square pepperoni slice. Was kinda burnt tbh and not much pepperoni. 1 pepperoni square slice cost 6 dollars cash or $6.27 if you pay by card. The crust was very burnt and hard to eat, would have liked more sauce and cheese as well. Was it worth it? For me, it wasn't but you might have a different opinion."
311,"The pepperoni square is pretty good,  but I wouldn't wait on line for it. It's a bit greasy too!"
312,I went to this place after hearing about it so many times. And boy oh boy am I glad I did! Pizza was awesome! I waited on line for about 15 - and it was well worth the wait!!
313,Prince St Pizza was some of the best pizza I have tasted in a long time... the atmosphere was lively & busy. Once I tasted the pizza I completely understood why! The walls adorn celebrity photographs throughout the small stand only pizzeria. There is outdoor seating in the front of the store. The sodas are just as amazing as the generous slices of pizza. Make sure you add Prince St to your list when visiting NY.
314,Overall they have good pizza. I tried a pepperoni square and a regular cheese. The pepperoni square was very good with good tasting sauce and lots of pepperoni. There was not much cheese. The regular cheese was disappointing. The sauce was bland compare to the square. It was OK but I would not travel for a cheese slice. I have had much better in NYC.
315,I stopped in here on a Sunday afternoon. The line was not very long and the service was very quick. I was in and out in about 5 minutes. I ordered a slice of the pepperoni and the pesto. I enjoyed the pepperoni more. The pepperoni was a bit spicy.
316,"Prince street was pretty good. The square slice good, but too much sauce tho. The pepperoni themselves on the pizza were so good. Other Pizza slice was cold and the slice was not crispy also still cold. Service staff and the register was rude and the girl was mad we wanted to add a soda to our order after we ordered the slices. Glad we came, but lots of other pizza with nice staff and a hot fresh slice.  I would maybe come again only for square slice."
317,"Ordered: Spicy Spring Slice, Vodka Fra Diavolo Square SliceI've been wanting to try Prince St. Pizza for a while now and all I can say is - so overhyped! I don't understand why people rave about their pizza.  Spicy Spring Slice - Topped with mozzarella, their secret homemade spicy sauce, and pepperoni. The first thing I noticed was the pools of oil in each pepperoni slice. In addition to the abundance of oil on the pepperoni, the pizza itself was just very greasy and not at all appetizing.   Vodka Fra Diavolo Square Slice - Made with a combination of their homemade spicy sauce and vodka sauce. Let's just start off with the lack of spice. The sauce was not spicy at all.  Both slices were excessively doughy, and the crusts were very crunchy and dry. Unless you enjoy super doughy, greasy pizzas, I'd stay away."
318,"This definitely lives up to the hype!  I went for the classic Spicy Spring Pepperoni Cups.  It's very tasty, but I definitely wouldn't describe it as spicy. For some reason, food that's well seasoned will be often be described as spicy.Do your best to go off-peak when the line isn't long. I happen to be in the area on a bad weather day, so I was able to avoid the usual commotion and long lines. I'm a firm believer of avoiding long waits because I do not think think a cookie, donut, pizza etc. are worth 2 hour waits.I'm taking off one star because the outdoor setup is not the best. Just a couple stools outside on a very narrow sidewalk that sees a lot of foot traffic. Inside there are ledges against each wall with room to eat like many pizza joints, but you're not allowed to eat in there. I will be back (off-peak) to try some other slices."
319,"For meat eaters, this popular pizza joint makes sense. For non meat eaters, such as myself, I would say to pass. They are most famous for the vodka sauce pizza (has meat) and the spicy pepperoni pizzas. We got the Margarita pizza and a slice of veggie. Both are just average and better at many other pizza spots. There was a long line out the door around 6pm on a Sunday, which is to be expected. There are a few bar seats outside if you can snag one."
320,It's one of my favorite places to visit and enjoy food and drinks. The atmosphere is great and it feels like you are partially in Burger  Lobster in London. The interior is great and really fits the mood. I would not order food online but rather go to the restaurant to experience this unique atmosphere that transports you to another country.
321,"A fantastic experience!  If you're a fan of burgers and/or lobster rolls, this is a can't miss place to go. The menu is short, which is usually a good sign for me as that typically means they put a lot of effort in the options listed. Arrived around 6pm on a Friday, and the location is spacious with outdoor seating and was able to be seated right away. The server immediately attended the table and gave the option of a scan menu or paper menu. I opted for scan. Out of all the great sounding choices, I landed on what is called ""The Rolls"" which is a London Burger, lobster roll, fries and salad at a VERY reasonable price. The burger was perfectly cooked medium rare as requested. It was wonderful. The shaved pickles was a great idea as you get the taste of pickle in your bite without pulling the entire pickle out of the sandwich. The lobster roll came chilled, but in a toasty bun and a side of a warm buttery sauce to balance the chill with delicious warmth. The fries were of great quality and reminded me of the best version of McDonalds fries. And was perfect for the meal. Sadly, as good as the salad looked, it was for decoration as the two sandwiches and fries was the perfect amount of food.  And washed it down with what they list as ""The Beer"". A crisp Pale Ale from Sixpoints brewery. The place looked great in space and decorThe staff was friendly and prompt. And the food was absolutely amazing. I look forward to making my way there again in the near future."
322,"And to spot last night For my friend's birthday. We brought in a cake for him and they were able to hold it and bring it out when it was time to say happy birthday. The decor and environment is nice. Unfortunately we were sat next to the kitchen so it was a bit loud but it was nice seeing the pace of the workers cooking all the dishes. We decided to get some drinks to try out. The drinks were decent but they seemed light on the alcohol. We had the strawberry fizz, passion fruit margarita, espresso martini and a max park punch. The margarita and the espresso martini were the best drinks out of the ones we had chosen. I also had one non alcoholic mocktail drink: the hibiscus and passionfruit (with mint). Absolutely delicious!! For appetizers we decided to share the burrata, calamari, fresh raw oysters, lobster Mac and cheese and lobster bisque.  The oysters were fresh but small. The burrata was cold. However, the calamari and the lobster Mac and cheese is a must for the table. I can still taste the Mac now (drool). For our entrees, some of us got burgers (beyond, dry age, & london), the original lobster (option of grilled or steamed), one b&l combo (burger and lobster), and one big boy lobster catch of the day! I would recommend the steamed over grilled for move juice and it's easier when cracking it. The food was good. Burgers i wouldn't order here i feel like seafood is more of their thing. The big boy we had was 3.14 lbs and was $170. All entrees come out with fries and a house salad. We substituted some as truffle fries. The bout boy however comes with unlimited of the salad and fries and butter. The garlic butter sauce that comes with the lobsters are absolutely amazing. It was a creamy butter i didn't even know i was missing in my life. I was saying i hope o don't break out for the amount of butter i was eating... even with my fries! Fries dipped in butter....YUM!!! My rating is off of the burgers and comes with a bit of the service. The service was also a bit slow to bring little things we asked for like water or lemons or even new utensils. they offered to cut the cake for us and at the end we saw a charge of it. Now i get that some locations charge for it but it should have been mentioned when dropping off the cake just to have a heads up. Fortunately for me money wasn't an issue but to some it might. LASTLY... the reason for a FULL star drop was because of how one of our waiters approached us on the big boy when we ordered. He pushed for us to see the lobster and my friend just wanted it cooked. The waiter came back about the lbs of the lobster 3 times and on the last time he said and i quote.. ""Excuse me but i do not want fo make this a thing but the price of the lobster is $170. Are u sure you want it?"" It came across as discriminatory since we were colored people in a fancy restaurant who probably didn't exactly look the part (we were going to a club after) and we had said yes 3x!!! I just would never have done that when i was a waitress. I would have stated the lbs and price when explaining the big boy rather than coming back and forth making us feel like they couldn't believe we had the funds to cover our dinner. Overall. Great spot to go. Definitely a nice place for GOOD lobster (and i don't like lobster)!"
323,"Our party of 9 tried B&L out for restaurant week. The decor is cute. It's not too chic but it's nothing like a ""family"" Restaurant.The staff was kind from the start of dinner through the end. The drinks were good as well.Here's where it gets tricky...the food. The food was nothing to run home about. We started with burger and lobster bites. Very hit or miss. The lobster bites had a strange taste to them.The burger was good but nothing to tell a friend about. The dessert was served in an off glass container but was good nonetheless.Would I come back? Probably notWould I recommend it to a friend? Ehhh"
324,"Imagine, if you will, a restaurant in New York City with burgers and lobsters. That place is in Flatiron ... and you've entered the Alright Zone  ... cause everything is acceptably adequate at Burger and Lobster.   Original Lobster Roll - 3.5 stars Lobster Bisque - 3 stars The London Burger - 2.5 stars Truffle Fries - 3.5 stars Cocktails - 3 stars Service - 4 stars  Anna Delvey wouldn't be impressed. My spouse wasn't either ... even though Burger & Lobster - Flatiron NYC is an a-ok 3 stars for having favorites I love ... like cocktails, bisque, truffle fries, burgers, and lobster. Each are just worthy of being in the McConaughey zone as alright, alright, alright ..."
325,"Great burgers, Lobster, Salads and more. I had the Burger and lobster bites, French toast and the beast burger were delicious. Their salads are also delicious. The service was great. Decor nice also. I believe they have a location in Bryant Park and others around the world."
326,"We stopped here after walking around the city for awhile with our two kids.  They verified our COVID vaccine cards before seating us.  The staff was very helpful, friendly and accommodating to our family. We started off with calamari which was excellent. Our kids really enjoyed their burger bites, it was a perfect kid friendly menu item. For our main dish we had the dry-aged burger which was topped with blue cheese. This burger was perfectly cooked, juicy and full of flavor. The fries were very crispy and delicious. The salad provided a light fresh element to the dish.  The lobster roll was full of flavor, excellent pieces of lobster.  I also highly recommend the margaritas here, they are very delicious."
327,"Having based my experience only off of a delivery order during the peak of the pandemic, it probably was not a great way to judge how great this restaurant is. So came here during restaurant week and dragged my gf with me for dinner ($39 deal). The place was enormous and very lively. Seems like a great spot to grab some food and drinks after work, have a family gathering, or have a date (if you don't mind the noise). We shared each others dishes so we could try various items they had to offer.For appetizers, we order the Butternut Squash Soup and Burrata. Cannot go wrong with either choices. The soup is more filling if you're super hungry. For entrees, we ordered the B&L Steak Sandwich and the Truffle Lobster Roll (extra $5). You get a choice between B&L fries or a salad with your entree. I personally don't think the Truffle Lobster Roll is worth the extra $5. Didn't really taste any truffle flavor and it wasn't as filling one would hope. The B&L Steak Sandwich will definitely fill you up a lot better than the Lobster Roll. Did I mention the B&L Steak Sandwich also tastes amazing? Must be that caramelized onion and roasted garlic mayo. For dessert we got the Cheesecake Mousse and Chocolate Mousse. We ended up having them packed to take with us as we were both already stuffed after finishing our entree. I personally enjoyed the Cheesecake Mousse more.Overall, a three course meal for $39 is one hell of a deal, especially if it puts you into a food coma just after the second course. Service is fantastic. Come check this place out during restaurant week while it last!"
328,"Love it here! Firstly, the staff here is so engaging, friendly & attentive. Even if they're not your waiter/tress, they will go out of their way to assist. Now for the food: get the garlic butter. No matter what. Dip your fries in them, dip your bread, everything!!!! So addictive. Love getting the poboy lobster roll, calamari and steamed lobster whenever I come here. All so juicy, full of flavor, and doesn't feel extremely heavy the next day."
329,"Came here for dinner last weekend after making reservations on Google (they had plenty of open spots even the day before). Pretty empty and spaced out tables which I liked. Burrata- 10/10. Mainly because of the tomato sauce it comes with. just added an extra oomph to the cheese. The toasted roll they gave us was slightly burnt on the edges (not sure if that was done purposefully to bring out flavor but I personally avoided those parts)Roll Combo- 8/10. I ordered this cause you get the best of both worlds- burger & lobster! The London burger was super basic in my opinion, the main thing i liked about it was the sesame bun and the pickled onions. Other than that it was a regular ole burger. The Lobster roll however was 10/10 on its own! The lemon'ed up lobster on this delicious toasted brioche roll was just PERFECT. Tip: ask for the lemon butter sauce ($3) on the side to bring your lobster roll to the next level. I didn't love the sauce that much but my husband sure did.The main reason I give it 4 and not 5 stars is because I didn't love the burger.Special shoutout for service...our waiter was absolutely PHENOMENAL. He was so attentive, easy going, and kind. He had great energy and even said ""thank you"" to US for pointing out a mistake on the bill! Service was also super quick, the food came out fast and we were done in 50 minutes. With the receipt they give you this electronic tablet so you can rate your dishes and experience which I obviously loved and was excited to do!The ambiance and the whole vibe is pretty cool too. If you didnt know about B&L already, youd think its a fast food burger joint but the interior is so classy and well decorated, a total vibe.Return? Probably, esp if Im ever craving a lobster roll.Recommend? Defintely! Fancy date night feel but without the fancy cost."
330,"Burgers, lobsters, cocktails, and desserts. Oh my!This place was jumping on the night we dropped in. Cool looking spot. Fun and not pretentious. Great music too.Juicy and delicious burgers. Lobster roll actually loaded with fresh lobstah! French fries crispy with a right amount of saltiness. Little side salad too. As there is a full bar we ordered off of their house cocktail list and had some refreshing libations. Overall price aligns with the quality, but it's definitely not a cheaper meal experience.Oh, and those desserts in the specialty glass jars - YUM!"
331,"If you like lobster but you also like burgers then look no further cause this is the place for you. Who says you can't have the best of both worlds? Cause over here, you can have the best of both worlds and not skimp out on portion sizes. You can get a full lobster roll and a full burger with fries and salad for a nice combined combo price. That's what I got when I came. I was feeling a bit of both a lobster roll and also a burger so I got the combo and to my surprise, it was a half portion of one and another half of the other dish but two full portions. It was great! Of course I couldn't finish it all but the lobster roll was delicious and the burger was perfectly cooked. My gf got the salad with a serving of lobster on top and it was a great serving size as well. The food here is great and don't mind getting yourself messy if you do in fact go for the whole lobster...you won't have to travel to New England for that experience.The atmosphere is very much reflective of a typical NYC restaurant as opposed to a seafood restaurant you'd find in New England but it has very good casual vibes. There is a full service bar so in case you just want drinks then they'll accommodate that as well."
332,Great place in the city. Atmosphere was nice and service was pleasant. I got the lobster with fries and comes with a side salad. The food taste good. Not the best lobster roll I've had but not bad at all either. I would return
333,"I've been here a few times and have enjoyed myself each time. They have a happy hour menu that offers pretty great deals. For some odd reason, during lunch time, this place is fairly empty--but it's truly a great spot! My first time here I ordered oysters (2.5 out of 5 stars), calamari (4 out of 5), house wine (2.5 out of 5), and grilled lobster(3.5 out of 5). To be honest, they were all just okay. My second visit is what elevated my score. I had the burger, which was amazing! (Definite 5 out of 5!) and opted for some other wines on the list (that were not part of happy hour). Wine (4 out of 5). It's a nice fairly casual spot to stop for lunch, or to have a drink. I haven't had dinner here yet, but have heard nice things. I'd recommend checking them out. Especially during happy hour."
334,Yum yum gimme some. So delicious! Food was delicious and service was pretty good! There was tons of open tables but they saw fit to sit us next to where wait staff was folding napkins... very odd. But the place was cool and we thoroughly enjoyed our food.
335,Burger and lobster is the nameAnd burger and lobster is exactly what I got. Perfect exactly what I wanted .I wanted to go back again and again .
336,Great service and food was awesome. Cool atmosphere. Will be going back and bringing friends.
337,"Good dining experience! Tried Restaurant Week and got calamari and the burger -- super filling! Both were very decent sizes and fries were also really good that came with the burger.I didn't get to try the lobster but I thought the burger was good, not the best in my life but still worth to try!Friendly service and overall good experience for a date night!"
338,"Where do I begin.  Came here for dinner on a random Sunday.  Prior to covid shut down this was my go to place.  Host were very inviting and nice.  Sat at the bar. Came here solo.  The bartender took my order and my food came out relatively quickly.  First thing I noticed the fries were cold.  Second, ordered the grilled lobster and found it to be watery - I truly hope it wasn't frozen.  I found the bartender inattentive.  1- I asked for a straw.  It's still COVID.  He comes back with my straw touching all then of his fingers and both palms. Gross. He should've gotten a napkin.  I had to ask for condiments.  :(. Twice he came over and asked if I was done.  I clearly was still eating!After I put my napkin on my plate someone came over to move my plate.  I then asked for the bill/ check.  Original bartender is called over.  Then from about 10 feet away from me (he's standing at the computer/Register) he yells my total.  what the hell is wrong with this dude?Am I at McDonald's or Burger King?  Give me my bill. I didn't ask for the total - I don't want other people to know what I am paying for my meal.  I was totally disgusted.   Especially considering that other people were at the bar and he didn't do that when they checked out.  Also - the prices went up.  Definitely NOT worth it. I will never come back to this place. Terrible"
339,"The menu was small and to the point. The lobster Mac 'n' Cheese was nothing to write home about. However, this is the best lobster roll I've ever had! The bread to lobster ratio was perfect, (I wouldn't complain if there were more lobster), the bread was toasted and buttered to perfection, and the ratio of mayo to lobster was right on point and perfectly seasoned. Even the fries were cooked to perfection. I had to ask for more salad dressing but once I got that, the salad was really good too. To sum it up, I had great food, great company and a great meal!"
340,It's always a treat to come here - what's better than burgers and lobsters? I normally get a lobster roll but I got the burger this time - oh boy! What a delicious juicy burger. I upgraded my fries to truffles and that was a disappointment. The regular fries were thinner and crispier - the truffle fries were fatter and soggy.
341,"Great food and nice environment. It's not common to have such a huge dining hall in NYC and I felt like I was in the south or Midwest when I sat in the restaurant. We ordered the wagyu beef burger. It was good, but no as juicy as I expected. The bun also made it a bit dry. The lobster roll was delicious. The $31 burger price was the reason why I gave it 4 stars because I was expecting something that could blow my mind but it didn't (just a tasty burger)."
342,"I've been to Burger & Lobster at least 5-6 times by now over the last couple of years, and their quality has been very consistent each time I visit. For $28-ish you can get a lobster, fries, and side salad (it used to be closer to $20 in the past, but the price has gone up a lot). The highlight of the meal is the deliciously sinful lemon garlic butter sauce, which is probably more butter than one should be allowed to consume in a single setting, but it is just so good that you would find yourself putting it on everything. I mean, I found myself dipping my fries in it. Speaking of the fries, they are fresh, hot and crispy each time!I prefer the lobster steamed rather than grilled, but you really can't go wrong with either option. The burger is a bit overrated/mediocre in my option, but they do have a meal that comes with a full sized lobster and a mini sized burger if you can't choose between the two.Also, it is worth noting that this is a huge restaurant inside and great for large groups. There can be a wait during peak times (~30 minutes or so on weekends and Fridays) but they let you reserve tables online now, which is really helpful."
343,"We had a nice dinner experience here. We started with the burrata and beet salad which were both good. Their burrata was exceptionally creamy. The salads that come with the meal are also well appointed and flavorful. Two of us ordered burgers, one of their standard burgers and one of their fancy dry-aged burgers. The other two ordered lobster. The burgers were both fine, not the best burgers we've ever had but they were okay. The lobster was good, and for the relatively low price, we would come back here to try it again. The fries were not great which was disappointing. We felt quite rushed throughout the meal. We told the waiter we did not want to order the main dishes until we started the appetizer, he was not happy with that. The rest of the meal he barely came by, we had to flag other waiters down for extra napkins, salt etc. He asked us before we were done eating if we could pay before he left because his shift was almost over. Maybe we want a dessert, maybe we wanted more drinks? I get it, but not helping the rushed feeling. I'd say this is a good place to come if you're not a seafood snob and just want to eat lobster or a burger for a relatively low price."
344,"Casual place, felt kind of like chain inside (i guess they have restaurants around the world), but the food and service were great!Alvin was our super server, attentive and friendly.Had ""The Beer,"" a pale ale exclusively brewed for them by sixpoint. it was ok.The half dozen east coast oysters i got were on point tho, briny with seawater the way i like them.  My son had thr original burger which was tasty, and i had a perfect lobster roll. Sooo chunky and meaty lobster in a buttery toasty roll.  the side salad it came with was nice and the fries were pretty perfect."
345,Second Time here! Let's start off with the Bomb Lobster bisque Amazing! The truffle fries also great my lobster was grilled to perfection My drink was Good also Madison park punch a must try!!Will be returning Again
346,"Literally the best of both worlds in this super fun place!!The atmosphere gets you into the vibe the moment you step foot in the door- energetic but not nauseating, perfectly balanced lighting, and music that will instantly elevate your mood. The food? Better than I expected and truly the star of this show. I highly recommend the lobster and burger bites appetizer!! So much delicious goodness nestled inside of delicate puff pastry, you'll start doing your happy dance instantly! Definitely try the B&L combo- the burger and lobster where you get a choice of steamed or grilled lobster and the burger is served on a really delicious seeded bun that complements vs competes. I especially enjoyed the red sangria chock full of fresh drunken fruit! Lastly, the incredibly friendly and professional staff made my entire experience so enjoyable that I'm back just 1 week later for more"
347,"No exaggeration - I was extremely let down with my experience today As a frequent customer over the years - this place took a 360* in so many ways. Love the renovations on the bar - upgraded to a mature, sexy look. The food took a turn for the worst. They no longer have the lobster bisque and the steamed lobster came out undercooked, mushy and inedible. Also they skimped on the amount of lobster provided. It was a slap to the face, barely any meat. I exchanged for a grilled option. Was not a fan. The lemon garlic sauce was bomb. As usual. The bread on the burger kept crumbling and breaking, indicating that the bread was old. It was just blahhh. The cocktail that Adam, the bartender, made was nice - he provided great service, loved his attitude and energy. The manager had a nice outfit. His energy was appreciated as well. The restaurant had one job and it was to deliver a great experience. They missed their mark."
348,"Great place for lobster rolls, bisque, and burgers. The menu is not overwhelming and everything is very delicious. Friendly staff and nice interior - whether it is for lunch or dinner, you'll like coming here. Prices are a bit above average, but worth it."
349,"I have been here before and I am basing my review on my last visit. This was a on weekend afternoon and there was no wait and got seated promptly outside. Got the burger with cheese, medium well. It was very juicy and tasty. Solid burger.Service was great. If I'm in the mood for lobster roll and I am around the neighborhood, I will def stop by again. * they do not have honey mustard."
350,"I love lobster and qualityLobster rolls are hard to find, Delicious lobster roll  with truffle fries (combo) My boyfriend had the burger which was also very tasty.Cocktails were yummy and waiter helped us with the menu as it was our first time."
351,I love this place. Good vibe and play great music. Nice wine and spirits selection. The lobster was so flavorful. My favorite was the burger. The bacon was crispy and burger was cooked to perfection. Awesome place to go to in NYC
352,"Here on Halloween, & feeling the spirit.Staff is in full swing, dressed to the teeth. Service is always pleasant & top notch. Food is on point as well, love this place."
353,The roll is tiny and they had no chips... just bad fries... I've had better lobster rolls.
354,"I brought a friend who wanted a lobster meal and I choose this restaurant based on the high volume  of good reviews. Overall I would give it 3.75-4*.Atmosphere: spacious 4.5*Service: 4.5*Food: 3.75*As the name states, they have a very limited menu. The other person was allergic to shellfish but enjoyed her burger with truffle fries.My friend seemed to enjoy her lobster.I ordered the burger and lobster with sweet potato fries. My criticism is that my meal did not arrive hot and the burger which I requested be cooked medium was overcooked. My cocktail was in a tiny glass.We did have a nice time and we were not rushed which was great since my friend needed time to savor her lobster."
355,"I can't believe I haven't reviewed Burger & Lobster after visiting here over 100 times lol. This is one of my favorite places when it comes to grilled lobster. The prices are very different from when they first opened but nonetheless, still worth it. The menu has also expanded as all they initially served was burgers & lobster. I've tried pretty much everything on the menu and although my tastebuds are different from your tastebuds, everything is tasty. I'm not a big burger person so I'll never order it again but it's juicy and filling.  I've had it twice and could never finish it. All entree menu items comes with fries and a salad and butter for your lobster. The lemon & garlic butter is so good I usually order a second one for my French fries. You can walk in or make a reservation and they are taking all Covid precautions like taking your temperature and contact tracing. They have another location in Time's Square but as of now, they are still closed.As soon as indoor dining resumed, I had to stop by and pay a visit. I love their strawberry Margarita and they also have a happy hour menu.Enjoy!"
